s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
1,0.000730915,0.000908936,0.000872223,0.0,0.000794694,0.0,81920.0,86016.0
3,0.001894095,0.00194821,0.001406726,0.0,0.001947262,0.0,163840.0,176128.0
10,0.005421318,0.004237533,0.002162212,0.0,0.005981583,0.0,276480.0,317440.0
31,0.01440516,0.009786317,0.003078461,0.0,0.017698357,0.0,409600.0,536576.0
100,0.040374898,0.027409841,0.003917496,0.0,0.052622992,0.0,538880.0,948480.0
316,0.109755326,0.087406881,0.004798795,0.0,0.155891856,0.0,674880.0,1.969216e6
1000,0.289570844,0.266578862,0.005725818,0.0,0.464330934,0.0,815520.0,4.91152e6
3162,0.703717252,0.797994391,0.006651715,0.0,1.345561394,0.0,945720.0,1.3897272e7
10000,1.082293211,1.03723286,0.007332198,0.0,3.926215462,0.0,983040.0,1.775616e7
