s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
1,0.000766919,0.000863101,0.000957761,0.000909723,0.000840851,6.7767e-5,81920.0,86016.0
201,0.09028965,0.072377023,0.004698841,0.004336595,0.110410977,0.001471357,620800.0,1.444096e6
401,0.157146801,0.12081809,0.005272522,0.00478055,0.246406638,0.003895924,702080.0,2.344576e6
601,0.212569581,0.174104402,0.005629697,0.005012057,0.309069746,0.00436798,751680.0,3.213376e6
801,0.279221598,0.225281262,0.005855055,0.005307138,0.41125068,0.006242804,783680.0,4.064576e6
1001,0.327861384,0.295212956,0.00623315,0.005367183,0.504676958,0.00698233,815680.0,4.915776e6
1201,0.406577382,0.374967304,0.006497154,0.005633303,0.610931031,0.009073189,833440.0,5.752736e6
1401,0.430296405,0.409589354,0.006410037,0.005682301,0.739972874,0.010551467,849440.0,6.587936e6
