s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_pt_gen,theo_row
1,0.00074571,0.000852847,0.000886479,0.0,0.000817065,0.0,81920.0,589824.0,86016.0
3,0.001925693,0.001823209,0.001425515,0.0,0.001994449,0.0,163840.0,1.130496e6,176128.0
10,0.006030066,0.005447815,0.003700537,0.0,0.006363616,0.0,450560.0,3.022848e6,491520.0
31,0.018847461,0.016589194,0.010723281,0.0,0.021401267,0.0,1.31072e6,8.699904e6,1.437696e6
100,0.064528798,0.058381215,0.03490927,0.0,0.066794198,0.0,4.13696e6,2.7353088e7,4.54656e6
316,0.202750772,0.198667346,0.112147521,0.0,0.205132063,0.0,1.298432e7,8.5745664e7,1.4278656e7
1000,0.669962982,0.639843791,0.362103977,0.0,0.698005486,0.0,4.100096e7,2.70655488e8,4.509696e7
3162,2.298910138,1.942990844,1.118592292,0.0,2.375056064,0.0,1.2955648e8,8.5512192e8,1.42508032e8
10000,8.757862136,6.327973042,3.663340878,0.0,8.864753838,0.0,4.0964096e8,2.703679488e9,4.5060096e8
