s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_pt_gen,theo_row
1,0.00074815,0.001023881,0.000971912,0.0,0.00081484,0.0,81920.0,589824.0,86016.0
3,0.001940976,0.002137888,0.001547569,0.0,0.002016281,0.0,163840.0,1.130496e6,176128.0
10,0.005699821,0.004903704,0.002425508,0.0,0.006455797,0.0,276480.0,1.787904e6,317440.0
31,0.015708716,0.013686036,0.003670923,0.0,0.019191958,0.0,409600.0,2.4576e6,536576.0
100,0.044168187,0.034672757,0.004783908,0.0,0.060028029,0.0,538880.0,2.97216e6,948480.0
316,0.117959629,0.091293056,0.005461792,0.0,0.1799273,0.0,674880.0,3.389184e6,1.969216e6
1000,0.320505728,0.289095854,0.006468892,0.0,0.547855911,0.0,815520.0,3.679776e6,4.91152e6
3162,0.80477299,0.89323916,0.007946419,0.0,1.545681916,0.0,945720.0,3.811464e6,1.3897272e7
10000,1.280858709,1.150033331,0.008676603,0.0,4.556763921,0.0,983040.0,3.833856e6,1.775616e7
