s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
1,0.000741937,0.000894969,0.000883464,0.000903104,0.000807597,6.0712e-5,81920.0,86016.0
3,0.00196966,0.001938077,0.001399348,0.001436345,0.001981645,6.9202e-5,163840.0,176128.0
10,0.006013511,0.005578979,0.003559685,0.003709111,0.00657796,0.000146193,450560.0,491520.0
31,0.017652304,0.013957332,0.007502077,0.007734168,0.019530377,0.000238792,983040.0,1.110016e6
100,0.055139693,0.040721827,0.018284364,0.018120601,0.062778917,0.000636475,2.39616e6,2.80576e6
316,0.177890124,0.141799542,0.05181494,0.051050491,0.192152352,0.002273616,6.81984e6,8.114176e6
1000,0.534339104,0.383769166,0.119237261,0.117113723,0.615241376,0.006109134,1.58208e7,1.99168e7
3162,1.647113364,1.043225871,0.279567574,0.26567075,1.934586739,0.020729888,3.795968e7,5.0911232e7
10000,5.923476847,3.292341588,0.801174014,0.755318028,6.64879335,0.063088266,1.079808e8,1.489408e8
