m,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
8,0.003859141,0.002678997,0.00019114,0.0,0.01281496,0.0,114688.0,106240.0
10,0.039415093,0.050401801,0.00125431,0.0,0.07160611,0.0,754620.0,1.01508e6
12,0.230543125,0.227268445,0.005582891,0.0,0.371990206,0.0,4.405696e6,4.06032e6
14,1.31374916,1.066344671,0.025977705,0.0,1.948394431,0.0,2.442528e7,1.624128e7
16,6.758175928,8.246727157,0.123213907,0.0,9.003241219,0.0,1.29925632e8,6.496512e7
18,35.243628777,32.040738094,0.618829535,0.0,44.813434658,0.0,6.68658688e8,2.5986048e8
20,179.010080286,160.128940291,2.590562269,0.0,206.94854866,0.0,3.35069184e9,1.03944192e9
