s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
1,0.000730585,0.000915062,0.000875896,0.0,0.000796063,0.0,81920.0,86016.0
3,0.00189384,0.001956393,0.001411302,0.0,0.001953876,0.0,163840.0,176128.0
10,0.005776595,0.005606008,0.003593013,0.0,0.006360675,0.0,450560.0,491520.0
31,0.017127895,0.014353925,0.007583297,0.0,0.018430485,0.0,983040.0,1.110016e6
100,0.053295952,0.040912823,0.018205852,0.0,0.059198659,0.0,2.39616e6,2.80576e6
316,0.175321147,0.133075995,0.052237422,0.0,0.185868469,0.0,6.81984e6,8.114176e6
1000,0.519183496,0.37541333,0.121950208,0.0,0.576969344,0.0,1.58208e7,1.99168e7
3162,1.592353211,1.091686704,0.28069051,0.0,1.806114746,0.0,3.795968e7,5.0911232e7
10000,5.529175144,3.355761818,0.796373382,0.0,6.368002706,0.0,1.079808e8,1.489408e8
