τ,gen_pts,row_red,col_red,row_col_red,std_mat_cr,std_mat_rr,theo_col,theo_row
1,0.035755079,0.006147743,0.005344019,0.004945781,0.044703038,0.03612416,0.0,0.0
201,0.035806178,0.402780872,0.052143174,0.051134905,0.044457478,0.039408733,0.0,0.0
401,0.036364212,0.852467056,0.103966846,0.103669947,0.044777723,0.039264985,0.0,0.0
601,0.035772763,1.278244478,0.154964424,0.15368124,0.04930862,0.042915922,0.0,0.0
801,0.037006158,1.744488444,0.208174317,0.207255532,0.045914377,0.042515012,0.0,0.0
