s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
1,0.000741046,0.000900944,0.000880928,0.000900891,0.000807055,6.0517e-5,81920.0,86016.0
3,0.001934197,0.00193659,0.001398979,0.001435424,0.00198189,6.9227e-5,163840.0,176128.0
10,0.005986445,0.005605299,0.003559501,0.003705126,0.006387857,8.8157e-5,450560.0,491520.0
31,0.018505572,0.016793144,0.010249558,0.010576453,0.019797803,0.000185056,1.31072e6,1.437696e6
100,0.060002806,0.056600839,0.032115803,0.03321468,0.064619458,0.000557156,4.13696e6,4.54656e6
316,0.192800104,0.183163021,0.101780705,0.105421132,0.194455417,0.002282753,1.298432e7,1.4278656e7
1000,0.612746305,0.606793764,0.320300068,0.332533833,0.625689621,0.006265407,4.100096e7,4.509696e7
3162,2.014924032,1.858544584,1.026687032,1.047204335,2.233516,0.019693839,1.2955648e8,1.42508032e8
10000,7.663947448,5.901924766,3.263123059,3.410644713,7.681343529,0.063379142,4.0964096e8,4.5060096e8
