τ,gen_pts,row_red,col_red,row_col_red,std_mat_cr,std_mat_rr,theo_col,theo_row
1,0.453052982,0.0712064,0.075147239,0.073551302,0.513500418,0.455718753,0.0,0.0
201,0.461878503,3.813759207,0.569262477,0.569767296,0.531497789,0.48629102,0.0,0.0
401,0.441242835,11.422573001,1.950242258,1.922873054,0.513301914,0.454443416,0.0,0.0
601,0.473424961,21.168853352,3.894894537,3.921723163,0.54892536,0.474450192,0.0,0.0
801,0.459138934,30.776467907,5.343590966,5.274489428,0.525122422,0.51230474,0.0,0.0
