τ,gen_pts,row_red,col_red,row_col_red,std_mat_cr,std_mat_rr,theo_col,theo_row
1,0.044437645,0.008840745,0.018943767,0.019231097,0.050091331,0.044929164,0.0,0.0
201,0.045475842,0.65151807,0.160594306,0.161076149,0.048102611,0.046505633,0.0,0.0
401,0.044262988,1.354586441,0.328888365,0.327448105,0.048919822,0.050268502,0.0,0.0
601,0.045248785,2.015490591,0.489483553,0.492786976,0.051577953,0.052386393,0.0,0.0
801,0.045162109,2.6993497,0.676943222,0.669638426,0.053409039,0.051900834,0.0,0.0
